2024-06-03 19:59:11,018 INFO  SnsAmbassador - Removed Node id=veh_22 @time=1000.000,000,000 s
2024-06-03 19:59:11,018 INFO  SnsAmbassador - Removed Node id=veh_6 @time=1000.000,000,000 s
2024-06-03 19:59:11,018 INFO  SnsAmbassador - Removed Node id=veh_21 @time=1000.000,000,000 s
2024-06-03 19:59:11,018 INFO  SnsAmbassador - Removed Node id=veh_7 @time=1000.000,000,000 s
2024-06-03 19:59:11,018 INFO  SnsAmbassador - Removed Node id=veh_20 @time=1000.000,000,000 s
2024-06-03 19:59:11,018 INFO  SnsAmbassador - Removed Node id=veh_38 @time=1000.000,000,000 s
2024-06-03 19:59:11,018 INFO  SnsAmbassador - Removed Node id=veh_37 @time=1000.000,000,000 s
2024-06-03 19:59:11,018 INFO  SnsAmbassador - Removed Node id=veh_36 @time=1000.000,000,000 s
2024-06-03 19:59:11,018 INFO  SnsAmbassador - Removed Node id=veh_35 @time=1000.000,000,000 s
2024-06-03 19:59:11,018 INFO  SnsAmbassador - Removed Node id=veh_79 @time=1000.000,000,000 s
2024-06-03 19:59:11,018 INFO  SnsAmbassador - Removed Node id=veh_39 @time=1000.000,000,000 s
2024-06-03 19:59:11,018 INFO  SnsAmbassador - Removed Node id=veh_30 @time=1000.000,000,000 s
2024-06-03 19:59:11,018 INFO  SnsAmbassador - Removed Node id=veh_71 @time=1000.000,000,000 s
2024-06-03 19:59:11,018 INFO  SnsAmbassador - Removed Node id=veh_34 @time=1000.000,000,000 s
2024-06-03 19:59:11,018 INFO  SnsAmbassador - Removed Node id=veh_33 @time=1000.000,000,000 s
2024-06-03 19:59:11,018 INFO  SnsAmbassador - Removed Node id=veh_32 @time=1000.000,000,000 s
2024-06-03 19:59:11,018 INFO  SnsAmbassador - Removed Node id=veh_31 @time=1000.000,000,000 s
2024-06-03 19:59:11,018 INFO  SnsAmbassador - Removed Node id=veh_75 @time=1000.000,000,000 s
2024-06-03 19:59:11,018 INFO  SnsAmbassador - Removed Node id=veh_48 @time=1000.000,000,000 s
2024-06-03 19:59:11,018 INFO  SnsAmbassador - Removed Node id=veh_47 @time=1000.000,000,000 s
2024-06-03 19:59:11,018 INFO  SnsAmbassador - Removed Node id=veh_41 @time=1000.000,000,000 s
2024-06-03 19:59:11,018 INFO  SnsAmbassador - Disabled Wifi for Node id=rsu_0 @time=1000.000,000,000 s
2024-06-03 19:59:11,018 INFO  SnsAmbassador - Removed Node id=veh_40 @time=1000.000,000,000 s
2024-06-03 19:59:11,018 INFO  SnsAmbassador - Removed Node id=veh_45 @time=1000.000,000,000 s
2024-06-03 19:59:11,018 INFO  SnsAmbassador - Removed Node id=veh_43 @time=1000.000,000,000 s
2024-06-03 19:59:11,018 INFO  SnsAmbassador - Removed Node id=veh_42 @time=1000.000,000,000 s
2024-06-03 19:59:11,019 INFO  SnsAmbassador - Finished simulation
